Feature,Label
1.12,11.8
3.45,34.5
2.32,22.9
5.67,56.3
0.98,9.5
4.11,41.2
6.55,65.1
7.89,78.0
2.76,27.3
3.88,38.9
1.23,12.7
4.56,45.5
5.34,53.2
6.78,67.1
3.21,32.5
7.12,71.8
8.34,83.5
2.54,25.9
1.87,18.4
4.78,47.9
5.89,58.0
6.12,61.5
7.45,74.2
3.65,36.1
2.98,29.5
8.01,80.4
1.45,14.6
4.23,42.1
5.67,56.8
6.33,63.5
2.11,21.2
7.78,77.4
8.45,84.7
3.54,35.0
1.67,16.9
4.89,49.1
5.12,51.3
6.99,69.8
7.22,72.0
2.45,24.8
3.76,37.2
8.67,86.0
1.98,19.2
4.01,40.7
5.55,55.8
6.21,62.0
7.88,78.5
3.12,31.9
2.34,23.5
8.12,81.5
1.56,15.0
4.67,46.9
5.78,57.5
6.45,64.3
2.89,28.7
7.01,70.2
8.34,83.6
3.21,32.9
1.12,11.5
4.45,44.8
5.67,56.0
6.78,67.4
2.12,21.8
7.56,75.1
8.78,87.0
3.45,34.9
1.78,17.2
4.89,48.3
5.12,51.0
6.23,62.8
2.45,24.9
7.34,73.5
8.12,81.2
3.56,36.8
1.67,16.5
4.01,40.9
5.78,57.9
6.89,68.4
2.34,23.8
7.12,71.7
8.56,85.0
3.21,32.3
1.45,14.7
4.34,43.9
5.67,56.7
6.12,61.9
2.98,29.2
7.89,78.8
8.45,84.3
3.76,37.0
1.23,12.8
4.56,45.6
5.34,53.9
6.78,67.0
2.11,21.5
7.45,74.0
8.67,86.2
3.54,35.5
1.89,18.6
4.78,48.0
5.12,51.7
6.45,64.0
2.89,28.9
7.01,70.5
8.34,83.8
3.21,32.7
9.50,150.0
9.00,140.0
8.80,135.0
9.10,145.0
9.30,155.0
9.40,160.0
9.20,138.0
9.60,165.0
9.70,170.0
9.80,175.0
